RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [0%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23C CPU@27.5C PMIC@50C GPU@25C AO@34C thermal@25.25C POM_5V_IN 2176/1946 POM_5V_GPU 0/0 POM_5V_CPU 577/540
RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [100%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23C CPU@27.5C PMIC@50C GPU@25C AO@33.5C thermal@25.25C POM_5V_IN 2176/1958 POM_5V_GPU 0/0 POM_5V_CPU 577/542
RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [0%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23C CPU@27.5C PMIC@50C GPU@25C AO@33.5C thermal@25.25C POM_5V_IN 2176/1969 POM_5V_GPU 0/0 POM_5V_CPU 621/546
RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [100%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23C CPU@27.5C PMIC@50C GPU@25C AO@33.5C thermal@25.25C POM_5V_IN 2173/1979 POM_5V_GPU 0/0 POM_5V_CPU 621/549
RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [0%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23C CPU@27C PMIC@50C GPU@25C AO@33.5C thermal@25.25C POM_5V_IN 2173/1987 POM_5V_GPU 0/0 POM_5V_CPU 621/553
RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [0%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23.5C CPU@27.5C PMIC@50C GPU@25.5C AO@33.5C thermal@25.25C POM_5V_IN 2173/1996 POM_5V_GPU 0/0 POM_5V_CPU 621/556
RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [100%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23.5C CPU@27.5C PMIC@50C GPU@25.5C AO@34C thermal@25.25C POM_5V_IN 2173/2003 POM_5V_GPU 0/0 POM_5V_CPU 621/558
RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [50%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23.5C CPU@27.5C PMIC@50C GPU@25.5C AO@34C thermal@25.25C POM_5V_IN 2173/2010 POM_5V_GPU 0/0 POM_5V_CPU 621/561
RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [0%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23.5C CPU@27.5C PMIC@50C GPU@25.5C AO@34C thermal@25.25C POM_5V_IN 2173/2016 POM_5V_GPU 0/0 POM_5V_CPU 621/563
RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [0%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23.5C CPU@27.5C PMIC@50C GPU@25.5C AO@34C thermal@25.25C POM_5V_IN 2173/2022 POM_5V_GPU 0/0 POM_5V_CPU 621/565
RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [100%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23.5C CPU@27.5C PMIC@50C GPU@25.5C AO@34C thermal@25.25C POM_5V_IN 2173/2027 POM_5V_GPU 0/0 POM_5V_CPU 621/567
RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [0%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23.5C CPU@27.5C PMIC@50C GPU@25.5C AO@34C thermal@25.25C POM_5V_IN 2173/2032 POM_5V_GPU 0/0 POM_5V_CPU 621/569
RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [100%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23.5C CPU@27.5C PMIC@50C GPU@25.5C AO@34C thermal@25.25C POM_5V_IN 2173/2037 POM_5V_GPU 0/0 POM_5V_CPU 621/571
RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [0%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23.5C CPU@27.5C PMIC@50C GPU@25.5C AO@34C thermal@25.25C POM_5V_IN 2173/2041 POM_5V_GPU 0/0 POM_5V_CPU 621/572
RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [0%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23.5C CPU@27.5C PMIC@50C GPU@25.5C AO@34C thermal@25.25C POM_5V_IN 2173/2045 POM_5V_GPU 0/0 POM_5V_CPU 620/574
RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [100%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23.5C CPU@27.5C PMIC@50C GPU@25.5C AO@34C thermal@25.25C POM_5V_IN 2217/2050 POM_5V_GPU 0/0 POM_5V_CPU 620/575
RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [100%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23.5C CPU@27.5C PMIC@50C GPU@25.5C AO@34C thermal@25.25C POM_5V_IN 2217/2055 POM_5V_GPU 0/0 POM_5V_CPU 620/576
RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [0%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23.5C CPU@27.5C PMIC@50C GPU@25.5C AO@34C thermal@25.25C POM_5V_IN 2217/2060 POM_5V_GPU 0/0 POM_5V_CPU 665/579
RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [0%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23.5C CPU@27.5C PMIC@50C GPU@25.5C AO@33.5C thermal@25.25C POM_5V_IN 2217/2064 POM_5V_GPU 0/0 POM_5V_CPU 665/581
RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [50%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23.5C CPU@27.5C PMIC@50C GPU@25.5C AO@34C thermal@25.25C POM_5V_IN 2220/2069 POM_5V_GPU 0/0 POM_5V_CPU 665/584
RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [100%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23.5C CPU@27.5C PMIC@50C GPU@25.5C AO@34C thermal@25.25C POM_5V_IN 2220/2072 POM_5V_GPU 0/0 POM_5V_CPU 665/586
RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [0%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23.5C CPU@27.5C PMIC@50C GPU@25.5C AO@34C thermal@25.25C POM_5V_IN 2220/2076 POM_5V_GPU 0/0 POM_5V_CPU 709/589
RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [0%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23.5C CPU@27.5C PMIC@50C GPU@25.5C AO@34C thermal@25.25C POM_5V_IN 2220/2080 POM_5V_GPU 0/0 POM_5V_CPU 709/592
RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [100%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23.5C CPU@27.5C PMIC@50C GPU@25.5C AO@34C thermal@25.25C POM_5V_IN 2220/2083 POM_5V_GPU 0/0 POM_5V_CPU 709/595
RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [0%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23.5C CPU@27.5C PMIC@50C GPU@25.5C AO@34C thermal@25.25C POM_5V_IN 2220/2086 POM_5V_GPU 0/0 POM_5V_CPU 753/598
RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [100%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23.5C CPU@27.5C PMIC@50C GPU@25.5C AO@34C thermal@25.25C POM_5V_IN 2220/2090 POM_5V_GPU 0/0 POM_5V_CPU 753/602
RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [0%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23.5C CPU@27.5C PMIC@50C GPU@25.5C AO@34C thermal@25.25C POM_5V_IN 2220/2093 POM_5V_GPU 0/0 POM_5V_CPU 753/605
RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [100%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23.5C CPU@27.5C PMIC@50C GPU@25.5C AO@34C thermal@25.25C POM_5V_IN 2220/2095 POM_5V_GPU 0/0 POM_5V_CPU 753/609
RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [0%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23.5C CPU@27.5C PMIC@50C GPU@25.5C AO@33.5C thermal@25.25C POM_5V_IN 2176/2097 POM_5V_GPU 0/0 POM_5V_CPU 753/612
RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [100%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23.5C CPU@27.5C PMIC@50C GPU@25.5C AO@34C thermal@25.25C POM_5V_IN 2176/2099 POM_5V_GPU 0/0 POM_5V_CPU 798/616
RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [0%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23.5C CPU@27.5C PMIC@50C GPU@25.5C AO@34C thermal@25.25C POM_5V_IN 2179/2100 POM_5V_GPU 0/0 POM_5V_CPU 798/620
RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [100%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23.5C CPU@27.5C PMIC@50C GPU@25.5C AO@34C thermal@25.25C POM_5V_IN 2176/2102 POM_5V_GPU 0/0 POM_5V_CPU 798/623
RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [0%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23.5C CPU@27.5C PMIC@50C GPU@25.5C AO@34C thermal@25.25C POM_5V_IN 2135/2103 POM_5V_GPU 0/0 POM_5V_CPU 798/627
