RAM 2274/3964MB (lfb 2x1MB) SWAP 309/4096MB (cached 21MB) IRAM 0/252kB(lfb 252kB) CPU [67%@1479,65%@1479,42%@1479,14%@1479] EMC_FREQ 6%@1600 GR3D_FREQ 5%@768 APE 25 PLL@26.5C CPU@30.5C PMIC@50C GPU@27.5C AO@37C thermal@28.5C POM_5V_IN 3835/3325 POM_5V_GPU 261/54 POM_5V_CPU 1830/1613
RAM 2537/3964MB (lfb 2x1MB) SWAP 320/4096MB (cached 27MB) IRAM 0/252kB(lfb 252kB) CPU [62%@1479,49%@1479,38%@1479,18%@1479] EMC_FREQ 6%@1600 GR3D_FREQ 0%@768 APE 25 PLL@26C CPU@28.5C PMIC@50C GPU@27C AO@36.5C thermal@28.5C POM_5V_IN 2214/3259 POM_5V_GPU 88/56 POM_5V_CPU 487/1546
RAM 2777/3964MB (lfb 4x512kB) SWAP 331/4096MB (cached 31MB) IRAM 0/252kB(lfb 252kB) CPU [47%@1479,49%@1479,27%@1479,23%@1479] EMC_FREQ 5%@1600 GR3D_FREQ 3%@768 APE 25 PLL@26.5C CPU@30.5C PMIC@50C GPU@27C AO@37C thermal@28.5C POM_5V_IN 3960/3298 POM_5V_GPU 130/60 POM_5V_CPU 1868/1564
RAM 2969/3964MB (lfb 1x2MB) SWAP 338/4096MB (cached 33MB) IRAM 0/252kB(lfb 252kB) CPU [44%@1479,69%@1479,53%@1479,28%@1479] EMC_FREQ 5%@1600 GR3D_FREQ 0%@768 APE 25 PLL@26.5C CPU@29C PMIC@50C GPU@27.5C AO@37C thermal@28.5C POM_5V_IN 3204/3293 POM_5V_GPU 87/61 POM_5V_CPU 1402/1556
RAM 3149/3964MB (lfb 1x2MB) SWAP 356/4096MB (cached 41MB) IRAM 0/252kB(lfb 252kB) CPU [70%@1479,36%@1479,62%@1479,21%@1479] EMC_FREQ 5%@1600 GR3D_FREQ 0%@537 APE 25 PLL@27C CPU@30.5C PMIC@50C GPU@27C AO@37C thermal@28.75C POM_5V_IN 3540/3306 POM_5V_GPU 87/63 POM_5V_CPU 1704/1563
RAM 3274/3964MB (lfb 1x2MB) SWAP 389/4096MB (cached 70MB) IRAM 0/252kB(lfb 252kB) CPU [46%@1479,35%@1479,19%@1479,9%@1479] EMC_FREQ 4%@1600 GR3D_FREQ 3%@307 APE 25 PLL@26C CPU@29.5C PMIC@50C GPU@27.5C AO@36.5C thermal@28.75C POM_5V_IN 2862/3285 POM_5V_GPU 44/62 POM_5V_CPU 1012/1537
RAM 3349/3964MB (lfb 1x2MB) SWAP 416/4096MB (cached 94MB) IRAM 0/252kB(lfb 252kB) CPU [37%@1479,46%@1479,4%@1479,21%@1479] EMC_FREQ 3%@1600 GR3D_FREQ 0%@230 APE 25 PLL@25.5C CPU@29.5C PMIC@50C GPU@26.5C AO@37C thermal@27.75C POM_5V_IN 2689/3257 POM_5V_GPU 88/63 POM_5V_CPU 881/1507
RAM 3453/3964MB (lfb 1x2MB) SWAP 416/4096MB (cached 91MB) IRAM 0/252kB(lfb 252kB) CPU [81%@1326,57%@1326,6%@1326,14%@1326] EMC_FREQ 3%@1600 GR3D_FREQ 1%@230 APE 25 PLL@26.5C CPU@29.5C PMIC@50C GPU@27C AO@37C thermal@27.75C POM_5V_IN 2476/3223 POM_5V_GPU 44/62 POM_5V_CPU 750/1474
RAM 3719/3964MB (lfb 1x2MB) SWAP 514/4096MB (cached 109MB) IRAM 0/252kB(lfb 252kB) CPU [21%@1479,23%@1479,16%@1479,27%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@25.5C CPU@29C PMIC@50C GPU@26.5C AO@36.5C thermal@27.75C POM_5V_IN 1823/3165 POM_5V_GPU 44/61 POM_5V_CPU 266/1424
RAM 3730/3964MB (lfb 1x2MB) SWAP 525/4096MB (cached 107MB) IRAM 0/252kB(lfb 252kB) CPU [7%@307,6%@307,6%@307,7%@307] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@25.5C CPU@28.5C PMIC@50C GPU@27.5C AO@36.5C thermal@28.5C POM_5V_IN 2087/3122 POM_5V_GPU 0/59 POM_5V_CPU 487/1386
RAM 3714/3964MB (lfb 1x2MB) SWAP 543/4096MB (cached 96MB) IRAM 0/252kB(lfb 252kB) CPU [9%@518,7%@518,7%@518,10%@518] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@26C CPU@29C PMIC@50C GPU@27.5C AO@36.5C thermal@28C POM_5V_IN 2347/3092 POM_5V_GPU 44/58 POM_5V_CPU 619/1357
RAM 3741/3964MB (lfb 1x2MB) SWAP 547/4096MB (cached 86MB) IRAM 0/252kB(lfb 252kB) CPU [53%@1479,62%@1479,24%@1479,23%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@153 APE 25 PLL@26.5C CPU@29.5C PMIC@50C GPU@27C AO@37C thermal@28.25C POM_5V_IN 3033/3090 POM_5V_GPU 87/59 POM_5V_CPU 1317/1355
RAM 3756/3964MB (lfb 1x2MB) SWAP 551/4096MB (cached 87MB) IRAM 0/252kB(lfb 252kB) CPU [7%@1479,38%@1479,19%@1479,61%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@153 APE 25 PLL@26.5C CPU@29C PMIC@50C GPU@27C AO@36.5C thermal@28.5C POM_5V_IN 2950/3085 POM_5V_GPU 43/59 POM_5V_CPU 1231/1351
RAM 3780/3964MB (lfb 1x2MB) SWAP 553/4096MB (cached 75MB) IRAM 0/252kB(lfb 252kB) CPU [26%@307,30%@307,29%@307,30%@307] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@29C PMIC@50C GPU@27C AO@37C thermal@28.75C POM_5V_IN 2043/3049 POM_5V_GPU 44/58 POM_5V_CPU 354/1316
RAM 3780/3964MB (lfb 1x2MB) SWAP 564/4096MB (cached 77MB) IRAM 0/252kB(lfb 252kB) CPU [15%@1479,18%@1479,22%@1479,20%@1479] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@26.5C CPU@30C PMIC@50C GPU@27C AO@37C thermal@27.5C POM_5V_IN 2822/3041 POM_5V_GPU 44/58 POM_5V_CPU 1056/1308
RAM 3808/3964MB (lfb 1x2MB) SWAP 578/4096MB (cached 79MB) IRAM 0/252kB(lfb 252kB) CPU [52%@1479,21%@1479,12%@1479,31%@1479] EMC_FREQ 1%@1600 GR3D_FREQ 0%@76 APE 25 PLL@26.5C CPU@29.5C PMIC@50C GPU@28.5C AO@37C thermal@29C POM_5V_IN 2906/3037 POM_5V_GPU 0/56 POM_5V_CPU 1319/1308
RAM 3838/3964MB (lfb 1x2MB) SWAP 581/4096MB (cached 71MB) IRAM 0/252kB(lfb 252kB) CPU [36%@1479,100%@1479,37%@1479,17%@1479] EMC_FREQ 1%@1600 GR3D_FREQ 0%@76 APE 25 PLL@27C CPU@31.5C PMIC@50C GPU@27.5C AO@38C thermal@28.5C POM_5V_IN 3584/3054 POM_5V_GPU 43/55 POM_5V_CPU 1879/1326
RAM 3854/3964MB (lfb 1x2MB) SWAP 583/4096MB (cached 66MB) IRAM 0/252kB(lfb 252kB) CPU [52%@1479,100%@1479,8%@1479,31%@1479] EMC_FREQ 1%@1600 GR3D_FREQ 0%@76 APE 25 PLL@26.5C CPU@31.5C PMIC@50C GPU@27C AO@38C thermal@29.5C POM_5V_IN 3540/3069 POM_5V_GPU 87/56 POM_5V_CPU 1833/1341
RAM 3850/3964MB (lfb 1x2MB) SWAP 585/4096MB (cached 61MB) IRAM 0/252kB(lfb 252kB) CPU [42%@1479,36%@1479,18%@1479,15%@1479] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@26.5C CPU@30C PMIC@50C GPU@27C AO@37C thermal@29.5C POM_5V_IN 2214/3044 POM_5V_GPU 44/56 POM_5V_CPU 663/1321
RAM 3846/3964MB (lfb 1x2MB) SWAP 591/4096MB (cached 57MB) IRAM 0/252kB(lfb 252kB) CPU [54%@1479,48%@1479,39%@1479,45%@1479] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@27.5C CPU@31C PMIC@50C GPU@27.5C AO@38C thermal@28C POM_5V_IN 3753/3064 POM_5V_GPU 43/56 POM_5V_CPU 2048/1342
RAM 3845/3964MB (lfb 1x2MB) SWAP 610/4096MB (cached 59MB) IRAM 0/252kB(lfb 252kB) CPU [19%@518,18%@518,20%@518,24%@518] EMC_FREQ 0%@1600 GR3D_FREQ 0%@153 APE 25 PLL@26.5C CPU@29.5C PMIC@50C GPU@27C AO@37.5C thermal@28.25C POM_5V_IN 2173/3039 POM_5V_GPU 44/55 POM_5V_CPU 663/1323
RAM 3843/3964MB (lfb 1x2MB) SWAP 627/4096MB (cached 68MB) IRAM 0/252kB(lfb 252kB) CPU [22%@1479,12%@1479,20%@1479,26%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@26.5C CPU@29C PMIC@50C GPU@28.5C AO@37.5C thermal@28C POM_5V_IN 2128/3014 POM_5V_GPU 0/54 POM_5V_CPU 620/1304
RAM 3834/3964MB (lfb 1x2MB) SWAP 655/4096MB (cached 70MB) IRAM 0/252kB(lfb 252kB) CPU [13%@1479,8%@1479,9%@1479,18%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@26C CPU@29C PMIC@50C GPU@28C AO@37C thermal@28.5C POM_5V_IN 1734/2981 POM_5V_GPU 0/52 POM_5V_CPU 310/1278
RAM 3841/3964MB (lfb 1x2MB) SWAP 673/4096MB (cached 80MB) IRAM 0/252kB(lfb 252kB) CPU [20%@1326,20%@1326,17%@1326,34%@1326] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@26.5C CPU@30.5C PMIC@50C GPU@27C AO@37.5C thermal@28.5C POM_5V_IN 2649/2972 POM_5V_GPU 43/52 POM_5V_CPU 1319/1279
RAM 3846/3964MB (lfb 1x2MB) SWAP 707/4096MB (cached 111MB) IRAM 0/252kB(lfb 252kB) CPU [12%@825,8%@825,10%@825,10%@825] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@26.5C CPU@29C PMIC@50C GPU@27C AO@37C thermal@28C POM_5V_IN 2043/2949 POM_5V_GPU 0/51 POM_5V_CPU 443/1258
RAM 3854/3964MB (lfb 1x2MB) SWAP 790/4096MB (cached 132MB) IRAM 0/252kB(lfb 252kB) CPU [22%@1479,11%@1479,8%@1479,20%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@26.5C CPU@30C PMIC@50C GPU@27.5C AO@37.5C thermal@28C POM_5V_IN 2561/2940 POM_5V_GPU 88/52 POM_5V_CPU 839/1248
RAM 3855/3964MB (lfb 1x2MB) SWAP 809/4096MB (cached 144MB) IRAM 0/252kB(lfb 252kB) CPU [15%@1479,13%@1479,14%@1479,32%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@26.5C CPU@30C PMIC@50C GPU@27.5C AO@37.5C thermal@28C POM_5V_IN 2906/2939 POM_5V_GPU 44/51 POM_5V_CPU 1144/1245
RAM 3847/3964MB (lfb 3x2MB) SWAP 823/4096MB (cached 142MB) IRAM 0/252kB(lfb 252kB) CPU [6%@1479,8%@1479,5%@1479,14%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@26.5C CPU@29.5C PMIC@50C GPU@27.5C AO@37C thermal@28.5C POM_5V_IN 1868/2914 POM_5V_GPU 44/51 POM_5V_CPU 662/1232
RAM 3846/3964MB (lfb 3x2MB) SWAP 879/4096MB (cached 142MB) IRAM 0/252kB(lfb 252kB) CPU [17%@204,16%@204,10%@1479,12%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@26C CPU@29.5C PMIC@50C GPU@27.5C AO@37.5C thermal@28.75C POM_5V_IN 1954/2892 POM_5V_GPU 0/50 POM_5V_CPU 355/1212
RAM 3848/3964MB (lfb 3x2MB) SWAP 893/4096MB (cached 153MB) IRAM 0/252kB(lfb 252kB) CPU [9%@403,5%@403,4%@403,10%@307] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@26.5C CPU@29C PMIC@50C GPU@27.5C AO@37.5C thermal@28C POM_5V_IN 2084/2874 POM_5V_GPU 44/50 POM_5V_CPU 354/1193
RAM 3845/3964MB (lfb 2x2MB) SWAP 984/4096MB (cached 159MB) IRAM 0/252kB(lfb 252kB) CPU [10%@1479,11%@1479,7%@1479,15%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@26C CPU@29C PMIC@50C GPU@29C AO@37C thermal@28.75C POM_5V_IN 2258/2861 POM_5V_GPU 0/49 POM_5V_CPU 355/1174
RAM 3855/3964MB (lfb 1x2MB) SWAP 1096/4096MB (cached 125MB) IRAM 0/252kB(lfb 252kB) CPU [19%@614,16%@614,13%@614,21%@614] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@26.5C CPU@29C PMIC@50C GPU@28.5C AO@37.5C thermal@28.75C POM_5V_IN 1998/2842 POM_5V_GPU 0/48 POM_5V_CPU 355/1157
RAM 3860/3964MB (lfb 1x2MB) SWAP 1096/4096MB (cached 125MB) IRAM 0/252kB(lfb 252kB) CPU [4%@307,8%@307,3%@307,9%@307] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@26.5C CPU@29.5C PMIC@50C GPU@28.5C AO@37.5C thermal@29C POM_5V_IN 1954/2824 POM_5V_GPU 0/47 POM_5V_CPU 310/1139
RAM 3864/3964MB (lfb 1x2MB) SWAP 1097/4096MB (cached 124MB) IRAM 0/252kB(lfb 252kB) CPU [6%@614,12%@614,7%@614,8%@614] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@26.5C CPU@29.5C PMIC@50C GPU@28.5C AO@37C thermal@29C POM_5V_IN 1909/2805 POM_5V_GPU 0/46 POM_5V_CPU 355/1123
RAM 3864/3964MB (lfb 11x512kB) SWAP 1108/4096MB (cached 102MB) IRAM 0/252kB(lfb 252kB) CPU [45%@1479,42%@1479,51%@1479,55%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@28C CPU@31C PMIC@50C GPU@30C AO@38C thermal@29C POM_5V_IN 3878/2826 POM_5V_GPU 0/45 POM_5V_CPU 2219/1145
RAM 3860/3964MB (lfb 10x512kB) SWAP 1127/4096MB (cached 96MB) IRAM 0/252kB(lfb 252kB) CPU [63%@1428,60%@1428,60%@1479,71%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@27C CPU@30C PMIC@50C GPU@29C AO@37.5C thermal@30.5C POM_5V_IN 2517/2820 POM_5V_GPU 0/44 POM_5V_CPU 970/1142
RAM 3864/3964MB (lfb 10x512kB) SWAP 1191/4096MB (cached 149MB) IRAM 0/252kB(lfb 252kB) CPU [24%@518,22%@518,21%@518,22%@518] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@27C CPU@29.5C PMIC@50C GPU@29C AO@37.5C thermal@30C POM_5V_IN 2043/2805 POM_5V_GPU 0/43 POM_5V_CPU 399/1128
RAM 3864/3964MB (lfb 10x512kB) SWAP 1191/4096MB (cached 146MB) IRAM 0/252kB(lfb 252kB) CPU [10%@204,9%@204,11%@204,10%@204] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@26.5C CPU@29.5C PMIC@50C GPU@28.5C AO@37.5C thermal@29.25C POM_5V_IN 1823/2787 POM_5V_GPU 0/42 POM_5V_CPU 266/1111
RAM 3857/3964MB (lfb 9x512kB) SWAP 1229/4096MB (cached 155MB) IRAM 0/252kB(lfb 252kB) CPU [17%@403,28%@403,12%@403,19%@403] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@27C CPU@29.5C PMIC@50C GPU@29C AO@38C thermal@31C POM_5V_IN 1823/2769 POM_5V_GPU 0/42 POM_5V_CPU 222/1095
RAM 3858/3964MB (lfb 1x1MB) SWAP 1235/4096MB (cached 158MB) IRAM 0/252kB(lfb 252kB) CPU [87%@1479,32%@1479,43%@1479,37%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@28C CPU@31C PMIC@50C GPU@30C AO@38C thermal@29.75C POM_5V_IN 3628/2785 POM_5V_GPU 0/41 POM_5V_CPU 1967/1111
RAM 3859/3964MB (lfb 1x1MB) SWAP 1238/4096MB (cached 160MB) IRAM 0/252kB(lfb 252kB) CPU [3%@1479,4%@1479,2%@1479,2%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@26.5C CPU@30C PMIC@50C GPU@28.5C AO@37.5C thermal@29C POM_5V_IN 2217/2775 POM_5V_GPU 0/40 POM_5V_CPU 576/1101
RAM 3857/3964MB (lfb 2x1MB) SWAP 1237/4096MB (cached 156MB) IRAM 0/252kB(lfb 252kB) CPU [9%@825,6%@825,5%@825,7%@825] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@27C CPU@29.5C PMIC@50C GPU@29C AO@37.5C thermal@29C POM_5V_IN 1868/2759 POM_5V_GPU 0/39 POM_5V_CPU 222/1086
RAM 3850/3964MB (lfb 2x1MB) SWAP 1237/4096MB (cached 141MB) IRAM 0/252kB(lfb 252kB) CPU [15%@1479,12%@1479,7%@1479,13%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@27.5C CPU@31C PMIC@50C GPU@29.5C AO@37.5C thermal@29.25C POM_5V_IN 3331/2768 POM_5V_GPU 0/39 POM_5V_CPU 1622/1095
RAM 3854/3964MB (lfb 1x2MB) SWAP 1249/4096MB (cached 151MB) IRAM 0/252kB(lfb 252kB) CPU [30%@1132,30%@1132,32%@1132,36%@1132] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@27C CPU@30C PMIC@50C GPU@29C AO@38C thermal@29C POM_5V_IN 2125/2758 POM_5V_GPU 0/38 POM_5V_CPU 707/1088
RAM 3850/3964MB (lfb 1x2MB) SWAP 1249/4096MB (cached 147MB) IRAM 0/252kB(lfb 252kB) CPU [4%@204,4%@204,4%@204,8%@204] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@27C CPU@29.5C PMIC@50C GPU@29C AO@37.5C thermal@28.75C POM_5V_IN 1823/2742 POM_5V_GPU 0/37 POM_5V_CPU 177/1073
